Address,Latitude,Longitude
"104 Princes Hwy, Albion Park Rail, NSW, 2527",-34.5571765,150.7912473
"11B Chapel Rd, Bankstown, NSW, 2200",-33.932563,151.0284985
"351 Windsor Rd, Baulkham Hills, NSW, 2153",-33.7606455,150.9920395
"17 Patrick St, Blacktown, NSW, 2148",-33.7700427,150.9063675
"11-13 Burwood Road, Burwood, NSW, 2134",-33.8700963,151.1047206
"321 Queen St, Campbelltown, NSW, 2560",-34.0713029,150.8095399
"160 Waldron Rd, Chester Hill, NSW, 2162",-33.8828793,151.0005278
"34 Willoughby Rd, Crows Nest, NSW, 2065",-33.8266903,151.2005716
"283 Homer St, Earlwood, NSW, 2206",-33.9264093,151.1275408
"8 South St, Granville, NSW, 2142",-33.8329128,151.0109666
"33 Village Cct, Gregory Hills, NSW, 2557",-34.026172,150.7767482
"100-102 Railway Parade, Kogarah, NSW, 2217",-33.9643201,151.1327418
"938-944 Canterbury Road, Roselands, NSW, 2196",-33.9281237,151.0785507
"279-287 Macquarie Street, Liverpool, NSW, 2170",-33.92447,150.9230074
"2 Ultimo Place, Marsden Park, NSW, 2765",-33.712258,150.8430482
"156 King St, Newtown, NSW, 2042",-33.8938155,151.1833502
"4 Century Cct, Baulkham Hills, NSW, 2153",-33.7334535,150.9636435
"535 High St, Penrith, NSW, 2750",-33.7527821,150.6943878
"260 Jersey Rd, Plumpton, NSW, 2761",-33.7459827,150.8357299
"1-5 Yato Rd, Prestons, NSW, 2170",-33.9390922,150.868548
"701 Punchbowl Rd, Punchbowl, NSW, 2196",-33.9245615,151.0557211
"16 Smithfield Rd, Smithfield, NSW, 2164",-33.8512423,150.9424519
"3 Potters Drive, Tahmoor, NSW, 2573",-34.2296567,150.5870809
"77 Crown St, Wollongong, NSW, 2500",-34.42600420000001,150.898494
